Model Node,Model LED_Index,LED_Address,Pin,Latitude,Longitude
C,29,C030,P8_42,-24.80360626355047,171.91732727382728
C,30,C031,P8_43,-24.606748312752973,164.53531669262367
C,31,C032,P8_44,-23.815713522302104,133.49875897255995
C,32,C033,P8_45,-23.410380801021688,128.27069080638014
C,33,C034,P8_46,-22.792696681191423,122.84255928475396
C,34,C035,P9_12,-20.293999894662917,138.99892746926443
C,35,C036,P9_13,-19.35282731583623,130.9007302992813
C,36,C037,P9_14,-19.278257912934027,145.99536370022952
C,37,C038,P9_15,-17.84701182400663,125.86502956299668
C,38,C039,P9_16,-16.659880464758643,168.72713440249893
C,39,C040,P9_17,-16.05567037823489,140.58199128621987
C,40,C041,P9_18,-15.02093177457112,135.10202523135447
C,41,C042,P9_19,-14.807559552610183,159.6955430748089
C,42,C043,P9_20,-14.78705304700011,130.0478969832409
C,43,C044,P9_21,-13.680384628694245,117.10103931219776
C,44,C045,P9_22,-8.762375035039174,167.39392275633935
C,45,C046,P9_23,-6.828819048400607,152.50692617919947
C,46,C047,P9_24,-6.733702723066319,110.46201613577351
C,47,C048,P9_25,-6.118745156498413,142.17600575395076
C,48,C049,P9_26,-4.406986240471387,120.8147170971665
C,49,C050,P9_27,-2.7078711741181323,133.5427221022837
D,0,D001,P8_7,-2.4443321811223093,-69.94223773607138
D,1,D002,P8_8,6.282492059066687,-68.6310975766747
D,2,D003,P8_9,7.934269280198794,-77.116813867853
D,3,D004,P8_10,9.17799969776462,-83.31186204906896
D,4,D005,P8_11,11.651872920481924,-73.3844972719798
D,5,D006,P8_12,13.022289080115268,-79.7441903042092
D,6,D007,P8_13,15.288794684079843,-86.20479476504336
D,7,D008,P8_14,15.865083288657008,-62.17502371526348
D,8,D009,P8_15,18.423002238408195,-75.29573727414811
D,9,D010,P8_16,19.069880382322374,-80.63573244771146
D,10,D011,P8_17,20.08757617159986,-70.39073280369635
D,11,D012,P8_18,20.36004406745927,-85.80990312474097
D,12,D013,P8_19,22.365273259453758,-76.93917356962959
D,13,D014,P8_26,22.905524585057048,-82.29472268590811
D,14,D015,P8_27,24.064258254210763,-63.33972509872349
D,15,D016,P8_28,25.114578121192412,-85.16903250858863
D,16,D017,P8_29,25.185614776982128,-53.94725163812932
D,17,D018,P8_30,26.3339114734233,-81.0921163630909
D,18,D019,P8_31,26.475581183545913,-36.665983940037684
D,19,D020,P8_32,26.576026753058912,-77.57346764759636
D,20,D021,P8_33,27.578782141510914,-71.83224640481822
D,21,D022,P8_34,28.414712593838097,-85.50477659058603
D,22,D023,P8_35,28.99516986835997,-82.3086227775362
D,23,D024,P8_36,29.338677941206342,-75.24548031198943
D,24,D025,P8_37,29.364970355554693,-78.9034963819626
D,25,D026,P8_38,30.101694700040813,-46.019019876801266
D,26,D027,P8_39,30.930843600986645,-67.54009347247174
D,27,D028,P8_40,31.401832920277158,-84.85698635315013
D,28,D029,P8_41,32.1098799897073,-77.83517152900988
D,29,D030,P8_42,32.595574169315626,-81.31750043106031
D,30,D031,P8_43,32.61907255383346,-61.690041817168456
D,31,D032,P8_44,33.24617821774863,-71.54906962020604
D,32,D033,P8_45,33.34660097223781,-75.22051934393549
D,33,D034,P8_46,35.63082352510385,-78.24908945994429
D,34,D035,P9_12,35.786261877719824,-84.17210769124753
D,35,D036,P9_13,35.8602018214574,-73.62433393148828
D,36,D037,P9_14,36.61032233138174,-67.40330845999473
D,37,D038,P9_15,37.4018259248742,-52.962035765032596
D,38,D039,P9_16,37.6123497695609,-70.6765311378571
D,39,D040,P9_17,38.95620159194442,-83.42207658082863
D,40,D041,P9_18,39.37243485243941,-63.61890330983796
D,41,D042,P9_19,39.77126394814294,-40.254695472871035
D,42,D043,P9_20,39.89991923505319,-75.48265372994743
D,43,D044,P9_21,40.37705968400415,-79.91617936306668
D,44,D045,P9_22,43.31294312653404,-82.6649678073021
D,45,D046,P9_23,43.31469300797122,-71.46282151601993
D,46,D047,P9_24,44.01177529589257,-77.42190368121604
D,47,D048,P9_25,48.71366259173246,-63.879554014834305
D,48,D049,P9_26,50.17655278649658,-75.00184170235329
D,49,D050,P9_27,51.042937520957025,-80.90778031154179
E,0,E001,P8_7,-0.6554033690171757,112.21112421558578
E,1,E002,P8_8,2.50252538113995,127.3748021865153
E,2,E003,P8_9,4.502580549589581,117.3436606658687
E,3,E004,P8_10,4.921980746043339,102.78604897467739
E,4,E005,P8_11,10.533727116105837,138.2601343241716
E,5,E006,P8_12,12.832977666194605,112.12568248222631
E,6,E007,P8_13,14.225805807870543,129.9087622045605
E,7,E008,P8_14,15.639093949334757,118.97145721072437
E,8,E009,P8_15,16.593836897105973,124.23504768556496
E,9,E010,P8_16,16.805580736952244,145.64525278311177
E,10,E011,P8_17,18.7420417295082,137.73663627031166
E,11,E012,P8_18,20.100842174209244,106.85610400048662
E,12,E013,P8_19,20.686486979710942,114.47432988639522
E,13,E014,P8_26,20.88537605741753,120.63526468769699
E,14,E015,P8_27,21.960549177340944,157.75291536715284
E,15,E016,P8_28,22.21998088769948,126.83937490680088
E,16,E017,P8_29,22.27468617059094,131.93182844789138
E,17,E018,P8_30,24.994806716986837,147.23367437346846
E,18,E019,P8_31,25.540595119343493,123.35783972851569
E,19,E020,P8_32,25.787700984052975,136.06985692621123
E,20,E021,P8_33,26.394223512645915,127.29303872274002
E,21,E022,P8_34,27.365709333736397,118.46091702958957
E,22,E023,P8_35,27.403117180882063,131.0739766373872
E,23,E024,P8_36,28.611759343533578,140.9733136413271
E,24,E025,P8_37,29.231938318852027,100.18230898736178
E,25,E026,P8_38,29.621360038451794,124.95494877496326
E,26,E027,P8_39,30.13938440385922,113.6964118889795
E,27,E028,P8_40,30.475749438699566,135.02344439545172
E,28,E029,P8_41,30.735571165040405,129.0267275157429
E,29,E030,P8_42,31.87585829481154,132.53409027591928
E,30,E031,P8_43,31.909604444553967,91.34488981468705
E,31,E032,P8_44,32.487185915496816,138.42699150403485
E,32,E033,P8_45,32.96128126173959,120.49886636241553
E,33,E034,P8_46,33.30296873876759,126.54962014660899
E,34,E035,P9_12,34.07938341255533,141.65198595714375
E,35,E036,P9_13,34.19224981837307,159.8131594053296
E,36,E037,P9_14,34.32018783295275,146.97855505866852
E,37,E038,P9_15,34.501763768175124,130.55005717767781
E,38,E039,P9_16,35.047755810124436,134.47579898814172
E,39,E040,P9_17,35.353791329343444,137.27692568822857
E,40,E041,P9_18,36.25541395920628,139.5649535946295
E,41,E042,P9_19,36.68389148382809,143.0973918313888
E,42,E043,P9_20,37.44953975792309,124.39050208117249
E,43,E044,P9_21,37.57886420914133,135.77251052518415
E,44,E045,P9_22,37.88457116020217,132.36377928632692
E,45,E046,P9_23,38.80554864668758,145.03372808060527
E,46,E047,P9_24,39.02558153646013,139.2194899545799
E,47,E048,P9_25,43.665403366508336,129.15979114448248
E,48,E049,P9_26,45.23411490638297,116.36738827416414
E,49,E050,P9_27,50.506349137655626,131.6560219708715
